"country","iso","cid","start_yr","end_yr","leader","episode_type","regime_type","gwf_case","tenure_yrs"
"Argentina","ARG",1,1946,1955,"Peron","Personal","personal","Argentina 51-55",9
"Argentina","ARG",1,1955,1958,"Aramburu","Personal","personal","Argentina 51-55",3
"Bolivia","BOL",5,1964,1966,"Barrientos Ortuna","Personal","personal","Bolivia 64-69",2
"Bolivia","BOL",5,1966,1969,"Barrientos Ortuna","Personal","personal","Bolivia 64-69",3
"Bolivia","BOL",5,1971,1978,"Banzer Suarez","Military-personal","military-personal","Bolivia 71-79",7
"Chile","CHL",9,1973,1990,"Pinochet","Military-personal","military-personal","Chile 73-89",17
"Colombia","COL",11,1953,1957,"Rojas Pinillia","Military-personal","military-personal","Colombia 53-58",4
"Colombia","COL",11,1958,1962,"Lleras Camargo","Military-personal","military-personal","Colombia 53-58",4
"Ecuador","ECU",16,1944,1947,"Velasco Ibarra","Personal","personal","Ecuador 44-47",3
"Ecuador","ECU",16,1968,1972,"Velasco Ibarra","Personal","personal","Ecuador 70-72",4
"Ecuador","ECU",16,1972,1976,"Rodriguez Lara","Personal","personal","Ecuador 70-72",4
"Egypt","EGY",17,1952,1954,"Naguib","Military-personal","party-personal-military","Egypt 52-NA",2
"Egypt","EGY",17,1954,1970,"Nasser","Military-personal","party-personal-military","Egypt 52-NA",16
"Egypt","EGY",17,1970,1981,"Sadat","Military-personal","party-personal-military","Egypt 52-NA",11
"Egypt","EGY",17,1981,2011,"Mubarak","Military-personal","party-personal-military","Egypt 52-NA",30
"Indonesia","IDN",26,1949,1966,"Sukarno","Personal","personal","Indonesia 49-66",17
"Indonesia","IDN",26,1966,1998,"Suharto","Military-personal","personal+party-personal-military","Indonesia 49-66+Indonesia 66-99",32
"Indonesia","IDN",26,1998,1999,"Habibie","Military-personal","party-personal-military","Indonesia 66-99",1
"Paraguay","PRY",40,1940,1948,"Higinio Morínigo","Personal","personal","Paraguay 39-48",8
"Paraguay","PRY",40,1954,1989,"Stroessner","Military-personal","party-personal-military","Paraguay 54-93",35
"Paraguay","PRY",40,1989,1993,"Rodriguez Pedotti","Military-personal","party-personal-military","Paraguay 54-93",4
"Paraguay","PRY",40,1993,1998,"Wasmosy Monti","Military-personal","party-personal-military","Paraguay 54-93",5
"Peru","PER",41,1948,1950,"Odria","Military-personal","military-personal","Peru 48-56",2
"Peru","PER",41,1950,1956,"Odria","Military-personal","military-personal","Peru 48-56",6
"Peru","PER",41,1956,1962,"Ugarteche","Military-personal","military-personal","Peru 48-56",6
"Peru","PER",41,1990,2000,"Fujimori","Personal","personal","Peru 92-00",10
"Philippines","PHL",42,1965,1986,"Marcos","Personal","personal","Philippines 72-86",21
"Philippines","PHL",42,1986,1992,"Aquino","Personal","personal","Philippines 72-86",6
"Portugal","PRT",44,1932,1968,"Salazar","Personal","personal","Portugal 26-74",36
"Portugal","PRT",44,1968,1974,"Caetano","Personal","personal","Portugal 26-74",6
"Russia","RUS",46,1991,1999,"Yeltsin","Personal","personal","Russia 93-NA",8
"Russia","RUS",46,2000,2015,"Putin","Personal","personal","Russia 93-NA",15
"South Korea","KOR",50,1948,1960,"Rhee","Personal","personal","Korea South 48-60",12
"Spain","ESP",51,1939,1975,"Franco","Personal","personal","Spain 39-76",36
"Spain","ESP",51,1976,1981,"Suarez Gonzalez","Personal","personal","Spain 39-76",5
"Thailand","THA",55,1944,1946,"Pridi Banomyong","Personal","personal","Thailand 44-47",2
"Thailand","THA",55,1947,1957,"Plaek Pibulsongkram","Military-personal","personal+military-personal","Thailand 44-47+Thailand 47-57",10
"Thailand","THA",55,1957,1957,"Pote Sarasin","Military-personal","military-personal","Thailand 47-57",0
"Thailand","THA",55,1957,1958,"Thanon Kittakachorn","Military-personal","military-personal","Thailand 47-57+Thailand 57-73",1
"Thailand","THA",55,1958,1963,"Sarit","Military-personal","military-personal","Thailand 57-73",5
"Thailand","THA",55,1963,1973,"Thanon Kittakachorn","Military-personal","military-personal","Thailand 57-73",10
"Thailand","THA",55,1976,1977,"Thanin Kraivichien","Military-personal","military-personal","Thailand 76-88",1
"Thailand","THA",55,1977,1980,"Kriangsak","Military-personal","military-personal","Thailand 76-88",3
"Thailand","THA",55,1980,1988,"Prem","Military-personal","military-personal","Thailand 76-88",8
"Thailand","THA",55,1988,1991,"Choonhavan","Military-personal","military-personal","Thailand 76-88",3
"Venezuela","VEN",60,1948,1950,"Delgado Chalbaud","Military-personal","military-personal","Venezuela 48-58",2
"Venezuela","VEN",60,1950,1958,"Perez Jimenez","Military-personal","military-personal","Venezuela 48-58",8
"Venezuela","VEN",60,1999,2012,"Hugo Chavez","Personal","personal","Venezuela 05-NA",13
