"country","iso","cid","cowcode","leader","start_yr","end_yr","tenure_yrs","regime_vdem_type","gwf_type","auth_yrs_vdem","is_also_populist"
"Argentina","ARG",1,160,"Quintana",1904,1906,2,"Electoral autocracy",NA,3,FALSE
"Argentina","ARG",1,160,"Alcorta",1906,1910,4,"Electoral autocracy",NA,5,FALSE
"Argentina","ARG",1,160,"R.S. Pena",1910,1913,3,"Electoral autocracy",NA,4,FALSE
"Argentina","ARG",1,160,"de la Plaza",1913,1916,3,"Electoral autocracy",NA,4,FALSE
"Argentina","ARG",1,160,"Irigoyen",1916,1922,6,"Electoral autocracy",NA,7,TRUE
"Argentina","ARG",1,160,"de Alvear",1922,1928,6,"Electoral autocracy",NA,7,FALSE
"Argentina","ARG",1,160,"Irigoyen",1928,1930,2,"Electoral autocracy",NA,3,TRUE
"Argentina","ARG",1,160,"J. Felix Uriburu",1930,1932,2,"Electoral autocracy",NA,3,TRUE
"Argentina","ARG",1,160,"Justo",1932,1938,6,"Electoral autocracy",NA,7,FALSE
"Argentina","ARG",1,160,"Ortiz",1938,1942,4,"Electoral autocracy",NA,5,FALSE
"Argentina","ARG",1,160,"Farrell",1944,1946,2,"Closed autocracy","military",3,TRUE
"Argentina","ARG",1,160,"Peron",1946,1955,9,"Electoral autocracy","military+personal",10,TRUE
"Argentina","ARG",1,160,"Aramburu",1955,1958,3,"Closed autocracy","personal+military",4,FALSE
"Argentina","ARG",1,160,"Frondizi",1958,1962,4,"Electoral autocracy","military+indirect military",5,FALSE
"Argentina","ARG",1,160,"Arturo Illia",1963,1966,3,"Electoral autocracy","indirect military",2,FALSE
"Argentina","ARG",1,160,"Ongania",1966,1970,4,"Closed autocracy","indirect military+military",5,FALSE
"Argentina","ARG",1,160,"Lanusse",1971,1973,2,"Closed autocracy","military",3,TRUE
"Argentina","ARG",1,160,"Videla",1976,1981,5,"Closed autocracy","military",6,TRUE
"Austria","AUT",3,305,"Renner",1918,1920,2,"Electoral autocracy",NA,2,FALSE
"Austria","AUT",3,305,"Dollfuss",1932,1934,2,"Closed autocracy",NA,2,FALSE
"Austria","AUT",3,305,"Schuschnigg",1934,1938,4,"Closed autocracy",NA,5,FALSE
"Belgium","BEL",4,211,"Von Bissing",1914,1917,3,"Closed autocracy",NA,4,FALSE
"Belgium","BEL",4,211,"Delacroix",1918,1920,2,"Closed autocracy",NA,3,FALSE
"Bolivia","BOL",5,145,"Montes",1904,1909,5,"Electoral autocracy",NA,6,FALSE
"Bolivia","BOL",5,145,"Villazon",1909,1913,4,"Electoral autocracy",NA,5,FALSE
"Bolivia","BOL",5,145,"Montes",1913,1917,4,"Electoral autocracy",NA,5,FALSE
"Bolivia","BOL",5,145,"Gutierrez Guerra",1917,1920,3,"Electoral autocracy",NA,4,FALSE
"Bolivia","BOL",5,145,"Saavedra",1920,1925,5,"Electoral autocracy",NA,6,FALSE
"Bolivia","BOL",5,145,"Siles",1926,1930,4,"Electoral autocracy",NA,5,FALSE
"Bolivia","BOL",5,145,"Salamanca",1931,1934,3,"Electoral autocracy",NA,4,FALSE
"Bolivia","BOL",5,145,"Tejada Sorzano",1934,1936,2,"Closed autocracy",NA,3,FALSE
"Bolivia","BOL",5,145,"Busch, G.",1937,1939,2,"Closed autocracy",NA,3,FALSE
"Bolivia","BOL",5,145,"Penaranda",1940,1943,3,"Electoral autocracy",NA,4,FALSE
"Bolivia","BOL",5,145,"Villarroel",1943,1946,3,"Closed autocracy","party-military",4,FALSE
"Bolivia","BOL",5,145,"Herzog",1947,1949,2,"Closed autocracy","oligarchy",3,FALSE
"Bolivia","BOL",5,145,"Urriolagoitia",1949,1951,2,"Closed autocracy","oligarchy",3,FALSE
"Bolivia","BOL",5,145,"Paz Estenssoro",1952,1956,4,"Electoral autocracy","military+party-based",5,TRUE
"Bolivia","BOL",5,145,"Siles Zuazo",1956,1960,4,"Electoral autocracy","party-based",5,TRUE
"Bolivia","BOL",5,145,"Paz Estenssoro",1960,1964,4,"Electoral autocracy","party-based",5,TRUE
"Bolivia","BOL",5,145,"Barrientos Ortuna",1964,1966,2,"Closed autocracy","party-based+personal",3,FALSE
"Bolivia","BOL",5,145,"Barrientos Ortuna",1966,1969,3,"Electoral autocracy","personal",4,FALSE
"Bolivia","BOL",5,145,"Banzer Suarez",1971,1978,7,"Closed autocracy","military+military-personal",8,FALSE
"Bolivia","BOL",5,145,"Siles Zuazo",1982,1985,3,"Closed autocracy","military",4,FALSE
