country,iso,cid,cowcode,leader,start_yr,end_yr,tenure_yrs,auth_type,gwf_type,regime_vdem_type,is_also_populist
Argentina,ARG,1,160,Peron,1946,1955,9,Military-personal,military+personal,Electoral autocracy,1
Argentina,ARG,1,160,Videla,1976,1981,5,Military,military,Closed autocracy,1
Bolivia,BOL,5,145,Barrientos Ortuna,1964,1969,5,Personalist,party-based+personal,Electoral autocracy,0
Bolivia,BOL,5,145,Banzer Suarez,1971,1978,7,Military-personal,military+military-personal,Closed autocracy,0
Brazil,BRA,6,140,Vargas,1930,1945,15,Closed (unclassified),NA,Closed autocracy,1
Brazil,BRA,6,140,Medici,1969,1974,5,Military,military,Closed autocracy,0
Brazil,BRA,6,140,Geisel,1974,1979,5,Military,military,Closed autocracy,0
Brazil,BRA,6,140,Figueiredo,1979,1985,6,Military,military,Closed autocracy,0
Bulgaria,BGR,7,355,Boris III,1918,1943,25,Closed (unclassified),NA,Closed autocracy,0
Bulgaria,BGR,7,355,Chervenkov,1950,1956,6,Single-party,party-based,Closed autocracy,0
Bulgaria,BGR,7,355,Zhivkov,1956,1989,33,Single-party,party-based,Closed autocracy,0
Chile,CHL,9,155,Pinochet,1973,1990,17,Military-personal,military-personal,Closed autocracy,0
China,CHN,10,710,Chiang Kai-shek,1928,1937,9,Closed (unclassified),NA,Closed autocracy,0
China,CHN,10,710,Mao Tse-Tung,1949,1976,27,Single-party,party-based,Closed autocracy,0
China,CHN,10,710,Deng Xiaoping,1980,1997,17,Single-party,party-based,Closed autocracy,0
China,CHN,10,710,Jiang Zemin,1997,2003,6,Single-party,party-based,Closed autocracy,0
China,CHN,10,710,Hu Jintao,2003,2012,9,Single-party,party-based,Closed autocracy,0
China,CHN,10,710,Xi,2012,2025,13,Closed (unclassified),NA,Closed autocracy,0
Colombia,COL,11,100,Reyes Prieto,1904,1909,5,Closed (unclassified),NA,Closed autocracy,0
Croatia,HRV,12,344,Tudjman,1990,1999,9,Closed (unclassified),NA,Closed autocracy,0
Ecuador,ECU,16,130,Aloy Alfaro Delgado,1906,1911,5,Closed (unclassified),NA,Closed autocracy,0
Egypt,EGY,17,651,Fuad I,1922,1936,14,Closed (unclassified),NA,Closed autocracy,0
Egypt,EGY,17,651,Farouk,1936,1952,16,Monarchy,monarchy,Closed autocracy,0
Egypt,EGY,17,651,Nasser,1954,1970,16,Military-personal,party-personal-military,Closed autocracy,0
Egypt,EGY,17,651,Sadat,1970,1981,11,Military-personal,party-personal-military,Closed autocracy,0
Egypt,EGY,17,651,Mubarak,1981,2011,30,Military-personal,party-personal-military,Electoral autocracy,0
Estonia,EST,18,366,Pats,1933,1940,7,Closed (unclassified),NA,Closed autocracy,0
Germany,DEU,21,255,Hitler,1933,1945,12,Closed (unclassified),NA,Closed autocracy,1
Greece,GRC,22,350,Metaxas,1936,1941,5,Closed (unclassified),NA,Closed autocracy,0
Greece,GRC,22,350,Papadopoulos,1967,1973,6,Military,military,Closed autocracy,0
Hungary,HUN,23,310,Rakoski,1945,1956,11,Single-party,party-based,Closed autocracy,0
Hungary,HUN,23,310,Kadar,1956,1988,32,Single-party,party-based,Closed autocracy,0
Indonesia,IDN,26,850,Sukarno,1949,1966,17,Personalist,personal,Closed autocracy,0
Indonesia,IDN,26,850,Suharto,1966,1998,32,Military-personal,personal+party-personal-military,Closed autocracy,0
Italy,ITA,29,325,Mussolini,1922,1943,21,Closed (unclassified),NA,Closed autocracy,1
