country,iso,cid,cowcode,leader,start_yr,end_yr,tenure_yrs,auth_type,gwf_type,regime_vdem_type,is_also_populist,in_ple,pre_yrs,post_yrs,scm_ok
Argentina,ARG,1,160,Peron,1946,1955,9,Military-personal,military+personal,Electoral autocracy,1,TRUE,71,25,TRUE
Argentina,ARG,1,160,Videla,1976,1981,5,Military,military,Closed autocracy,1,TRUE,101,21,TRUE
Bolivia,BOL,5,145,Barrientos Ortuna,1964,1969,5,Personalist,party-based+personal,Electoral autocracy,0,TRUE,74,21,TRUE
Bolivia,BOL,5,145,Banzer Suarez,1971,1978,7,Military-personal,military+military-personal,Closed autocracy,0,TRUE,81,23,TRUE
Brazil,BRA,6,140,Vargas,1930,1945,15,Closed (unclassified),NA,Closed autocracy,1,TRUE,60,31,TRUE
Brazil,BRA,6,140,Medici,1969,1974,5,Military,military,Closed autocracy,0,TRUE,99,21,TRUE
Brazil,BRA,6,140,Geisel,1974,1979,5,Military,military,Closed autocracy,0,TRUE,104,21,TRUE
Brazil,BRA,6,140,Figueiredo,1979,1985,6,Military,military,Closed autocracy,0,TRUE,109,22,TRUE
Bulgaria,BGR,7,355,Boris III,1918,1943,25,Closed (unclassified),NA,Closed autocracy,0,TRUE,48,41,TRUE
Bulgaria,BGR,7,355,Chervenkov,1950,1956,6,Single-party,party-based,Closed autocracy,0,TRUE,80,22,TRUE
Bulgaria,BGR,7,355,Zhivkov,1956,1989,33,Single-party,party-based,Closed autocracy,0,TRUE,86,49,TRUE
Chile,CHL,9,155,Pinochet,1973,1990,17,Military-personal,military-personal,Closed autocracy,0,TRUE,103,33,TRUE
China,CHN,10,710,Chiang Kai-shek,1928,1937,9,Closed (unclassified),NA,Closed autocracy,0,TRUE,38,25,TRUE
China,CHN,10,710,Mao Tse-Tung,1949,1976,27,Single-party,party-based,Closed autocracy,0,TRUE,59,43,TRUE
China,CHN,10,710,Deng Xiaoping,1980,1997,17,Single-party,party-based,Closed autocracy,0,TRUE,90,33,TRUE
China,CHN,10,710,Jiang Zemin,1997,2003,6,Single-party,party-based,Closed autocracy,0,TRUE,107,22,TRUE
China,CHN,10,710,Hu Jintao,2003,2012,9,Single-party,party-based,Closed autocracy,0,TRUE,113,17,TRUE
China,CHN,10,710,Xi,2012,2025,13,Closed (unclassified),NA,Closed autocracy,0,TRUE,122,8,TRUE
Croatia,HRV,12,344,Tudjman,1990,1999,9,Closed (unclassified),NA,Closed autocracy,0,TRUE,38,25,TRUE
Ecuador,ECU,16,130,Aloy Alfaro Delgado,1906,1911,5,Closed (unclassified),NA,Closed autocracy,0,TRUE,36,21,TRUE
Egypt,EGY,17,651,Fuad I,1922,1936,14,Closed (unclassified),NA,Closed autocracy,0,TRUE,28,30,TRUE
Egypt,EGY,17,651,Farouk,1936,1952,16,Monarchy,monarchy,Closed autocracy,0,TRUE,42,32,TRUE
Egypt,EGY,17,651,Nasser,1954,1970,16,Military-personal,party-personal-military,Closed autocracy,0,TRUE,60,32,TRUE
Egypt,EGY,17,651,Sadat,1970,1981,11,Military-personal,party-personal-military,Closed autocracy,0,TRUE,76,27,TRUE
Egypt,EGY,17,651,Mubarak,1981,2011,30,Military-personal,party-personal-military,Electoral autocracy,0,TRUE,87,39,TRUE
Germany,DEU,21,255,Hitler,1933,1945,12,Closed (unclassified),NA,Closed autocracy,1,TRUE,63,28,TRUE
Greece,GRC,22,350,Metaxas,1936,1941,5,Closed (unclassified),NA,Closed autocracy,0,TRUE,66,21,TRUE
Greece,GRC,22,350,Papadopoulos,1967,1973,6,Military,military,Closed autocracy,0,TRUE,97,22,TRUE
Hungary,HUN,23,310,Rakoski,1945,1956,11,Single-party,party-based,Closed autocracy,0,TRUE,75,27,TRUE
Hungary,HUN,23,310,Kadar,1956,1988,32,Single-party,party-based,Closed autocracy,0,TRUE,86,48,TRUE
Indonesia,IDN,26,850,Sukarno,1949,1966,17,Personalist,personal,Closed autocracy,0,TRUE,69,33,TRUE
Indonesia,IDN,26,850,Suharto,1966,1998,32,Military-personal,personal+party-personal-military,Closed autocracy,0,TRUE,86,48,TRUE
Italy,ITA,29,325,Mussolini,1922,1943,21,Closed (unclassified),NA,Closed autocracy,1,TRUE,52,37,TRUE
Japan,JPN,30,740,Katsura,1901,1906,5,Closed (unclassified),NA,Closed autocracy,0,TRUE,31,21,TRUE
Malaysia,MYS,34,820,Rahman,1957,1970,13,Single-party,party-based,Closed autocracy,0,TRUE,57,29,TRUE
Malaysia,MYS,34,820,Razak,1970,1976,6,Single-party,party-based,Closed autocracy,0,TRUE,70,22,TRUE
Mexico,MEX,36,70,Carranza,1915,1920,5,Closed (unclassified),NA,Closed autocracy,0,TRUE,20,21,TRUE
Paraguay,PRY,40,150,Chavez,1949,1954,5,Single-party,party-based,Closed autocracy,0,TRUE,10,21,TRUE
Paraguay,PRY,40,150,Stroessner,1954,1989,35,Military-personal,party-based+party-personal-military,Closed autocracy,0,TRUE,15,51,TRUE
Peru,PER,41,135,Leguia,1919,1930,11,Closed (unclassified),NA,Closed autocracy,0,TRUE,23,27,TRUE
Peru,PER,41,135,Benavidez,1933,1939,6,Closed (unclassified),NA,Closed autocracy,0,TRUE,37,22,TRUE
Peru,PER,41,135,Odria,1948,1956,8,Military-personal,military-personal,Closed autocracy,0,TRUE,52,24,TRUE
Peru,PER,41,135,Ugarteche,1956,1962,6,Military-personal,military-personal,Electoral autocracy,0,TRUE,60,22,TRUE
Peru,PER,41,135,Velasco Alvarado,1968,1975,7,Military,military,Closed autocracy,0,TRUE,72,23,TRUE
Peru,PER,41,135,Morales Bermudez,1975,1980,5,Military,military,Closed autocracy,0,TRUE,79,21,TRUE
Peru,PER,41,135,Fujimori,1990,2000,10,Personalist,personal,Closed autocracy,0,TRUE,94,26,TRUE
Philippines,PHL,42,840,Marcos,1965,1986,21,Personalist,personal,Closed autocracy,0,TRUE,63,37,TRUE
Poland,POL,43,290,Pildsudski,1926,1935,9,Closed (unclassified),NA,Closed autocracy,0,TRUE,56,25,TRUE
Poland,POL,43,290,Bierut,1944,1956,12,Single-party,party-based,Closed autocracy,0,TRUE,74,28,TRUE
Poland,POL,43,290,Gomulka,1956,1970,14,Single-party,party-based,Closed autocracy,0,TRUE,86,30,TRUE
Poland,POL,43,290,Gierek,1970,1980,10,Single-party,party-based,Closed autocracy,0,TRUE,100,26,TRUE
Poland,POL,43,290,Jaruzelski,1981,1990,9,Single-party,party-based,Closed autocracy,0,TRUE,111,25,TRUE
Portugal,PRT,44,235,Carmona,1926,1932,6,Closed (unclassified),NA,Closed autocracy,0,TRUE,56,22,TRUE
Portugal,PRT,44,235,Salazar,1932,1968,36,Personalist,personal,Closed autocracy,0,TRUE,62,52,TRUE
Portugal,PRT,44,235,Caetano,1968,1974,6,Personalist,personal,Closed autocracy,0,TRUE,98,22,TRUE
Russia,RUS,46,365,Lenin,1917,1923,6,Closed (unclassified),NA,Closed autocracy,0,TRUE,47,22,TRUE
Russia,RUS,46,365,Stalin,1923,1953,30,Single-party,party-based,Closed autocracy,0,TRUE,53,46,TRUE
Russia,RUS,46,365,Khrushchev,1953,1964,11,Single-party,party-based,Closed autocracy,0,TRUE,83,27,TRUE
Russia,RUS,46,365,Brezhnev,1964,1982,18,Single-party,party-based,Closed autocracy,0,TRUE,94,34,TRUE
Russia,RUS,46,365,Gorbachev,1985,1991,6,Single-party,party-based,Closed autocracy,0,TRUE,115,22,TRUE
Russia,RUS,46,365,Yeltsin,1991,1999,8,Personalist,party-based+personal,Electoral autocracy,0,TRUE,121,24,TRUE
Russia,RUS,46,365,Putin,2000,2025,25,Personalist,personal,Electoral autocracy,0,TRUE,130,20,TRUE
South Africa,ZAF,49,560,Botha,1978,1989,11,Oligarchy,oligarchy,Closed autocracy,0,TRUE,67,27,TRUE
South Africa,ZAF,49,560,deKlerk,1989,1994,5,Oligarchy,oligarchy,Closed autocracy,0,TRUE,78,21,TRUE
South Korea,KOR,50,732,Rhee,1948,1960,12,Personalist,personal,Electoral autocracy,0,TRUE,37,28,TRUE
South Korea,KOR,50,732,Hee Park,1961,1979,18,Military,military,Electoral autocracy,0,TRUE,50,34,TRUE
South Korea,KOR,50,732,Chun Doo Hwan,1980,1988,8,Military,military,Electoral autocracy,0,TRUE,69,24,TRUE
Spain,ESP,51,230,de Rivera,1923,1930,7,Closed (unclassified),NA,Closed autocracy,0,TRUE,53,23,TRUE
Spain,ESP,51,230,Franco,1939,1975,36,Personalist,personal,Closed autocracy,0,TRUE,69,52,TRUE
Taiwan,TWN,54,713,Chiang Kai-shek,1950,1975,25,Single-party,party-based,Closed autocracy,0,TRUE,49,41,TRUE
Taiwan,TWN,54,713,Chiang Ching-Kuo,1978,1988,10,Single-party,party-based,Closed autocracy,0,TRUE,77,26,TRUE
Taiwan,TWN,54,713,Lee Teng-Hui,1988,2000,12,Single-party,party-based,Closed autocracy,0,TRUE,87,28,TRUE
Thailand,THA,55,800,Rama VI,1910,1925,15,Closed (unclassified),NA,Closed autocracy,0,TRUE,40,31,TRUE
Thailand,THA,55,800,Rama VII,1925,1932,7,Closed (unclassified),NA,Closed autocracy,0,TRUE,55,23,TRUE
Thailand,THA,55,800,Plaek Pibulsongkram,1947,1957,10,Military-personal,personal+military-personal,Closed autocracy,0,TRUE,77,26,TRUE
Thailand,THA,55,800,Sarit,1958,1963,5,Military-personal,military-personal,Closed autocracy,0,TRUE,88,21,TRUE
Thailand,THA,55,800,Thanon Kittakachorn,1963,1973,10,Military-personal,military-personal,Closed autocracy,0,TRUE,93,26,TRUE
Thailand,THA,55,800,Prem,1980,1988,8,Military-personal,military-personal,Electoral autocracy,0,TRUE,110,24,TRUE
Turkey,TUR,56,640,Enver Pasha,1913,1918,5,Closed (unclassified),NA,Closed autocracy,0,TRUE,38,21,TRUE
Turkey,TUR,56,640,Ataturk,1922,1938,16,Closed (unclassified),NA,Closed autocracy,0,TRUE,47,32,TRUE
Turkey,TUR,56,640,Inonu,1938,1950,12,Single-party,party-based,Closed autocracy,0,TRUE,63,28,TRUE
Turkey,TUR,56,640,Menderes,1950,1960,10,Single-party,party-based,Closed autocracy,0,TRUE,75,26,TRUE
Turkey,TUR,56,640,Demirel,1965,1971,6,Closed (unclassified),NA,Closed autocracy,0,TRUE,90,22,TRUE
Turkey,TUR,56,640,Ozal,1983,1989,6,Military,military,Electoral autocracy,0,TRUE,108,22,TRUE
Uruguay,URY,59,165,Terra,1931,1938,7,Closed (unclassified),NA,Closed autocracy,0,TRUE,61,23,TRUE
Uruguay,URY,59,165,Mendez Manfredini,1976,1981,5,Military,military,Closed autocracy,0,TRUE,106,21,TRUE
Venezuela,VEN,60,101,Gomez,1908,1935,27,Closed (unclassified),NA,Closed autocracy,0,TRUE,25,43,TRUE
Venezuela,VEN,60,101,Lopez Contreras,1935,1941,6,Closed (unclassified),NA,Closed autocracy,0,TRUE,52,22,TRUE
Venezuela,VEN,60,101,Perez Jimenez,1950,1958,8,Military-personal,military-personal,Closed autocracy,0,TRUE,67,24,TRUE
Venezuela,VEN,60,101,Hugo Chavez,1999,2012,13,Personalist,personal,Electoral autocracy,1,TRUE,116,16,TRUE
